angle_rad,sin_pred,cos_pred,tan_pred,sin_actual,cos_actual,tan_actual,tan_pred_derived,sin_err,cos_err,tan_err
-3.14,-0.006065,-1.011338,0.005997,-0.0015926529164868282,-0.9999987317275395,0.001592654936407223,0.005997005946577701,0.004472347083513172,0.011339268272460568,0.0044043450635927765
-2.840952,-0.291603,-0.958517,0.304223,-0.2961321857244762,-0.9551469670045779,0.3100383458821755,0.30422308628850614,0.004529185724476192,0.0033700329954220454,0.005815345882175471
-2.541905,-0.558546,-0.82597,0.676231,-0.5643846552393557,-0.8255119386964392,0.6836783682748089,0.6762303715631318,0.005838655239355672,0.0004580613035607417,0.007447368274808852
-2.242857,-0.778264,-0.62339,1.248439,-0.7825403534028579,-0.6225998677289695,1.2568912940140775,1.2484383772598213,0.004276353402857924,0.0007901322710305303,0.008452294014077433
-1.94381,-0.929529,-0.363773,2.555242,-0.9312333227170777,-0.3644235155163715,2.555360132008942,2.5552446168352243,0.0017043227170776554,0.0006505155163714638,0.00011813200894206233
-1.644762,-0.998816,-0.074356,13.432942,-0.9972657864901887,-0.07389824826141249,13.495120790446828,13.432890419065037,0.0015502135098113268,0.00045775173858751683,0.06217879044682739
-1.345714,-0.974659,0.223413,-4.362589,-0.9747757361338171,0.22318661305009968,-4.367536756852907,-4.362588569152198,0.0001167361338170192,0.00022638694990032016,0.004947756852907048
-1.046667,-0.866471,0.502032,-1.725929,-0.8657600063121926,0.5004594004215648,-1.7299305509755933,-1.7259278293017177,0.0007109936878073597,0.001572599578435252,0.004001550975593293
-0.747619,-0.679221,0.7339,-0.925496,-0.6798946783136101,0.733309775197926,-0.9271588915204372,-0.9254952990870691,0.0006736783136100932,0.0005902248020740464,0.001662891520437193
-0.448571,-0.431559,0.900413,-0.47929,-0.43367835153124557,0.9010677485145839,-0.48129383417192234,-0.4792900591173162,0.002119351531245539,0.0006547485145839138,0.0020038341719223474
-0.149524,-0.148146,0.989102,-0.149778,-0.148967460528728,0.9888420984685178,-0.15064838032224084,-0.14977828373615662,0.0008214605287280019,0.0002599015314822539,0.000870380322240849
0.149524,0.149037,0.988465,0.150777,0.148967460528728,0.9888420984685178,0.15064838032224084,0.15077620350745854,6.9539471272001e-05,0.00037709846851774476,0.00012861967775915084
0.448571,0.436264,0.902027,0.483648,0.43367835153124557,0.9010677485145839,0.48129383417192234,0.4836484938920897,0.00258564846875442,0.0009592514854160905,0.002354165828077681
0.747619,0.679255,0.732918,0.926782,0.6798946783136101,0.733309775197926,0.9271588915204372,0.9267817136432727,0.0006396783136100037,0.000391775197925992,0.00037689152043718366
1.046667,0.866472,0.504171,1.718606,0.8657600063121926,0.5004594004215648,1.7299305509755933,1.718607377258906,0.0007119936878073885,0.003711599578435254,0.011324550975593262
1.345714,0.975313,0.222278,4.387811,0.9747757361338171,0.22318661305009968,4.367536756852907,4.387807160402739,0.0005372638661829132,0.000908613050099677,0.02027424314709325
1.644762,0.999791,-0.072586,-13.773858,0.9972657864901887,-0.07389824826141249,-13.495120790446828,-13.773882015815722,0.002525213509811275,0.0013122482614124908,0.2787372095531726
